측정시간,구,방문자수,혼잡도점수
현충일,은평구,3958,0.14
광복절,은평구,3649,0.13
크리스마스,은평구,3428,0.12
삼일절,은평구,3187,0.11
신정,서대문구,2997,0.1
어린이날,은평구,2549,0.08
신정,은평구,2324,0.08
신정,성동구,2135,0.07
한글날,용산구,1980,0.06
개천절,용산구,1396,0.04
크리스마스,용산구,1025,0.02
크리스마스이브,용산구,902,0.02
현충일,용산구,853,0.02
삼일절,용산구,718,0.01
어린이날,용산구,674,0.01
광복절,용산구,510,0.0
신정,용산구,473,0.0
