요일,호선,역명,새벽,출근,오전,점심,오후,퇴근,저녁,심야
수요일,6호선,구산,0.2,0.8,0.5,0.3,0.5,0.5,0.4,0.3
수요일,6호선,녹사평(용산구청),0.1,0.4,0.3,0.2,0.4,0.5,0.3,0.3
수요일,6호선,대흥(서강대앞),0.1,0.8,0.7,0.5,0.7,0.9,0.5,0.5
수요일,6호선,독바위,0.1,0.3,0.2,0.1,0.2,0.2,0.2,0.1
수요일,6호선,돌곶이,0.3,1.0,0.7,0.4,0.7,0.8,0.5,0.4
수요일,6호선,동묘앞,0.1,0.5,0.7,0.5,0.8,0.6,0.4,0.4
수요일,6호선,디지털미디어시티,0.3,2.0,1.0,0.4,0.8,1.5,0.8,0.7
수요일,6호선,마포구청,0.2,1.4,1.0,0.6,0.9,1.2,0.7,0.7
수요일,6호선,망원,0.2,1.0,1.2,0.8,1.3,1.4,0.9,0.8
수요일,6호선,버티고개,0.0,0.2,0.2,0.1,0.2,0.2,0.1,0.1
수요일,6호선,보문,0.1,0.8,0.5,0.3,0.5,0.6,0.4,0.4
수요일,6호선,봉화산(서울의료원),0.2,1.0,0.6,0.3,0.6,0.7,0.5,0.4
수요일,6호선,불광,0.1,0.3,0.3,0.2,0.4,0.4,0.2,0.2
수요일,6호선,삼각지,0.1,0.6,0.5,0.3,0.5,0.7,0.3,0.4
수요일,6호선,상수,0.1,0.5,0.8,0.5,0.8,0.9,0.6,0.7
수요일,6호선,상월곡(한국과학기술연구원),0.1,0.6,0.5,0.3,0.4,0.5,0.3,0.3
수요일,6호선,새절(신사),0.3,1.3,0.8,0.5,0.8,1.0,0.7,0.6
수요일,6호선,석계,0.3,1.2,0.8,0.5,0.9,1.0,0.7,0.6
수요일,6호선,신당,0.2,0.6,0.6,0.4,0.6,0.7,0.5,0.6
수요일,6호선,안암(고대병원앞),0.1,0.8,1.2,0.7,1.2,1.1,0.6,0.7
수요일,6호선,약수,0.0,0.3,0.3,0.1,0.3,0.3,0.2,0.2
수요일,6호선,역촌,0.1,0.4,0.3,0.2,0.3,0.3,0.2,0.2
수요일,6호선,월곡(동덕여대),0.2,1.2,0.9,0.5,0.9,1.0,0.7,0.6
수요일,6호선,월드컵경기장(성산),0.1,0.3,0.4,0.3,0.6,0.5,0.3,0.4
수요일,6호선,응암,0.4,1.7,1.2,0.7,1.2,1.5,1.0,0.9
수요일,6호선,이태원,0.2,0.5,0.7,0.4,0.9,1.0,0.7,0.8
수요일,6호선,증산(명지대앞),0.2,0.9,0.7,0.4,0.7,0.8,0.5,0.5
수요일,6호선,창신,0.1,0.4,0.2,0.1,0.2,0.2,0.2,0.1
수요일,6호선,청구,0.1,0.4,0.3,0.1,0.3,0.3,0.2,0.2
수요일,6호선,태릉입구,0.1,0.5,0.4,0.3,0.5,0.5,0.3,0.3
수요일,6호선,한강진,0.1,0.7,0.7,0.5,0.9,1.2,0.6,0.5
수요일,6호선,합정,0.1,0.8,0.9,0.5,1.0,1.3,0.8,0.9
수요일,6호선,화랑대(서울여대입구),0.3,1.3,0.8,0.4,0.7,0.8,0.6,0.5
수요일,6호선,효창공원앞,0.1,0.7,0.6,0.3,0.5,0.7,0.3,0.3
수요일,7호선,가산디지털단지,0.5,5.7,3.5,1.1,2.1,5.6,2.1,1.2
수요일,7호선,강남구청,0.2,1.5,1.7,0.6,1.0,1.6,0.9,0.7
