요일,호선,역명,06시 이전,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시 이후
일요일,4호선,서울역,126,454,539,845,1272,1384,1490,1698,1768,1679,1756,1804,1878,1621,1447,1254,1077,711,341,63
일요일,4호선,성신여대입구(돈암),157,390,514,929,1389,1519,1620,1947,2168,2029,2094,2208,2335,2091,1818,1690,1692,1449,812,7
일요일,4호선,수유(강북구청),434,917,1204,1961,2519,2632,2463,2786,3004,2912,2984,3276,3193,3099,2672,2412,2369,1924,1189,20
일요일,4호선,숙대입구(갈월),74,245,332,676,1105,1183,1270,1488,1643,1566,1359,1524,1441,1392,1041,1161,945,757,361,2
일요일,4호선,신용산,55,243,383,620,1021,1199,1549,1844,2049,1966,2262,2438,2353,1929,1675,1694,1406,934,378,3
일요일,4호선,쌍문,391,776,1055,1710,2177,2328,2131,2267,2416,2250,2302,2367,2312,2184,1883,1753,1667,1356,817,42
일요일,4호선,이촌(국립중앙박물관),44,185,215,476,800,1056,1040,1245,1544,1447,1511,1472,1407,998,504,434,414,244,119,1
일요일,4호선,창동,354,608,804,1496,2035,2423,2072,2505,2678,2706,2630,2784,2674,2731,1892,1568,1453,1109,626,110
일요일,4호선,총신대입구(이수),131,381,448,822,1362,1574,1498,1719,1984,1916,1927,2013,1950,1838,1386,1232,1046,779,426,22
일요일,4호선,충무로,121,395,574,976,1461,1821,1899,1840,2058,2070,1980,2139,2036,1801,1430,1382,1324,1179,723,38
일요일,4호선,한성대입구(삼선교),132,285,396,735,1124,1252,1177,1301,1424,1367,1378,1351,1300,1114,904,854,797,655,344,202
일요일,4호선,혜화,128,483,548,887,1465,2042,2963,4261,5718,4274,4634,5339,5226,3768,3437,3931,3324,2360,1001,60
일요일,4호선,회현(남대문시장),46,260,409,745,1651,1788,1973,1918,2079,2172,2076,1995,1715,1494,1238,1539,548,312,159,16
일요일,5호선,강동,216,437,592,871,1127,1292,1273,1459,1614,1517,1499,1524,1464,1289,1080,989,929,735,422,85
일요일,5호선,강일,67,142,213,342,439,488,395,458,454,463,472,456,471,402,336,315,270,256,122,4
일요일,5호선,개롱,85,136,201,362,457,516,434,518,578,528,504,562,536,461,409,305,333,292,123,15
일요일,5호선,개화산,98,191,209,312,411,469,381,444,438,435,441,482,470,418,344,299,300,251,131,21
일요일,5호선,거여,124,217,310,508,691,702,645,655,768,674,717,771,712,675,574,458,496,384,190,45
일요일,5호선,고덕,92,202,242,373,526,605,560,679,820,734,777,837,759,753,516,471,486,353,183,40
일요일,5호선,공덕,55,167,219,397,586,718,780,854,856,843,872,906,900,764,638,624,610,459,227,4
일요일,5호선,광나루(장신대),139,341,420,757,1118,1285,1076,1248,1298,1289,1279,1300,1132,1025,880,850,708,524,244,18
일요일,5호선,광화문(세종문화회관),38,524,646,1050,1494,2248,2240,2601,3085,3035,2871,3005,2744,2228,1696,1535,1357,639,202,8
일요일,5호선,군자(능동),134,306,378,559,771,851,835,988,1078,1057,1068,1143,1169,1077,939,899,860,684,421,100
일요일,5호선,굽은다리(강동구민회관앞),137,245,327,592,707,841,782,870,963,917,866,929,832,827,670,580,589,434,192,54
일요일,5호선,길동,100,213,273,432,563,629,605,731,742,771,713,795,756,667,576,490,459,358,148,52
일요일,5호선,김포공항,112,288,270,452,642,807,1011,1114,1271,1373,1432,1356,1315,1182,884,748,600,514,200,5
일요일,5호선,까치산,447,739,898,1533,2080,1963,1963,2123,2172,2135,2157,2332,2312,2153,1878,1808,1776,1359,788,80
일요일,5호선,답십리,168,394,492,826,1027,1166,1001,1205,1298,1176,1208,1264,1167,1066,903,801,738,606,351,19
일요일,5호선,동대문역사문화공원(DDP),12,51,73,110,145,191,182,185,176,182,186,206,212,166,130,130,135,116,75,6
일요일,5호선,둔촌동,83,196,285,460,697,717,793,775,1000,825,946,825,851,771,569,499,465,345,190,2
일요일,5호선,마곡,90,213,224,363,542,544,537,679,723,686,696,783,688,609,502,438,419,311,160,14
일요일,5호선,마장,51,133,165,288,406,489,414,486,498,465,460,461,457,412,333,305,278,229,128,5
일요일,5호선,마천,121,206,290,472,636,658,519,579,615,535,584,557,539,507,395,364,344,260,155,38
일요일,5호선,마포,83,254,292,510,696,784,816,904,874,867,868,932,937,800,660,668,661,474,247,4
일요일,5호선,명일,115,249,274,681,631,1063,775,883,942,785,792,792,671,753,512,503,497,327,181,43
일요일,5호선,목동,168,320,445,754,1022,1060,986,1201,1288,1229,1235,1303,1371,1212,1001,918,917,710,367,40
일요일,5호선,미사,141,314,514,831,1226,1260,1254,1426,1532,1591,1540,1669,1729,1495,1406,1256,1182,1009,522,6
일요일,5호선,발산,115,346,434,665,1009,1219,1456,1752,1886,1893,1956,1924,1841,1578,1317,1201,1130,934,394,21
일요일,5호선,방이,76,171,199,364,627,724,520,808,821,728,630,652,705,544,458,421,459,378,136,1
일요일,5호선,방화,97,213,243,374,511,562,497,562,619,608,611,634,587,528,420,354,340,283,148,31
일요일,5호선,상일동,164,278,443,693,871,954,854,1000,1048,975,1061,1008,1080,1005,732,736,675,494,330,118
일요일,5호선,서대문,62,234,332,622,782,906,859,966,1050,961,981,997,909,728,571,552,514,386,184,13
일요일,5호선,송정,86,183,224,376,484,550,464,531,540,520,533,577,555,521,426,381,374,316,167,14
일요일,5호선,신금호,58,141,192,296,438,503,424,495,527,517,524,555,542,482,389,343,315,249,148,12
일요일,5호선,신길,54,107,134,248,324,379,333,361,350,357,396,395,410,372,341,353,362,314,187,2
일요일,5호선,신정(은행정),194,327,427,677,905,871,796,870,913,860,876,911,914,832,713,645,665,545,309,33
일요일,5호선,아차산(어린이대공원후문),192,388,513,855,1397,1642,1506,1623,1793,1760,1801,1831,1702,1430,1146,939,888,615,316,31
일요일,5호선,애오개,52,122,152,284,421,423,388,452,454,440,448,446,427,388,325,298,258,203,108,55
일요일,5호선,양평,58,129,158,284,346,430,396,463,460,434,432,482,457,400,345,335,316,250,137,16
일요일,5호선,여의나루,88,297,428,710,729,1245,1379,1664,1828,2206,2285,2460,2404,2281,2045,2074,1506,915,323,10
일요일,5호선,여의도,83,321,435,606,891,1179,1460,1626,1864,1952,1964,2091,2008,1594,1328,1375,886,501,186,33
일요일,5호선,영등포구청,37,86,103,165,221,245,249,307,299,305,299,303,318,282,228,204,196,141,82,2
일요일,5호선,영등포시장,81,190,253,435,748,903,975,1230,1274,1158,1101,1172,1102,1087,787,654,591,432,220,2
일요일,5호선,오금,32,67,102,153,222,243,208,262,265,244,236,279,245,199,173,145,138,123,70,2
일요일,5호선,오목교(목동운동장앞),122,282,446,920,1449,1370,1491,1786,1960,1883,1965,2095,2125,1873,1471,1550,1289,871,370,35
일요일,5호선,올림픽공원(한국체대),41,167,152,263,420,498,579,674,794,869,912,769,547,472,554,962,689,282,97,1
일요일,5호선,왕십리(성동구청),50,97,111,203,282,343,387,453,512,504,507,510,494,452,354,319,308,231,131,70
일요일,5호선,우장산,143,294,411,693,923,1068,945,1135,1191,1182,1193,1209,1208,1081,848,740,713,598,307,8
일요일,5호선,을지로4가,17,69,83,148,202,302,350,402,414,410,403,400,377,316,250,222,185,125,79,1
일요일,5호선,장한평,154,399,485,808,1061,1411,1254,1356,1357,1281,1300,1422,1444,1619,1185,998,946,753,422,23
일요일,5호선,종로3가,93,193,230,382,688,1071,1428,1702,1781,1881,1948,2028,1949,1708,1456,1337,1257,977,461,13
일요일,5호선,천호(풍납토성),163,420,508,793,1338,1636,1667,1910,2202,2220,2260,2321,2247,2139,1663,1560,1202,868,478,39
일요일,5호선,청구,35,81,94,154,226,252,256,271,302,301,293,287,296,281,223,206,193,160,96,5
일요일,5호선,충정로(경기대입구),22,62,91,150,213,228,228,250,265,253,246,246,251,216,174,168,148,118,70,7
일요일,5호선,하남검단산,70,161,264,465,732,801,630,752,744,784,852,762,798,677,542,494,465,343,123,47
일요일,5호선,하남시청(덕풍·신장),97,193,268,475,604,694,638,685,780,696,764,780,686,701,539,502,472,328,176,66
일요일,5호선,하남풍산,30,136,178,303,365,490,434,470,489,498,411,451,366,363,284,238,263,178,91,8
일요일,5호선,행당,85,181,234,406,564,618,580,644,662,606,614,622,590,512,424,384,346,258,151,11
일요일,5호선,화곡,377,686,899,1409,1907,1900,1784,2001,2052,2055,2024,2147,2221,2023,1722,1621,1637,1268,693,95
일요일,6호선,고려대(종암),82,195,253,384,490,632,544,646,681,689,686,673,667,585,494,478,493,467,288,8
일요일,6호선,공덕,162,312,362,632,817,1018,1062,1165,1240,1205,1200,1319,1269,1078,957,898,839,689,393,74
일요일,6호선,광흥창(서강),102,221,253,441,584,722,604,789,718,767,697,723,689,591,461,442,392,313,181,7
일요일,6호선,구산,107,180,255,416,540,574,570,592,613,610,620,606,592,530,400,365,322,265,146,1
일요일,6호선,녹사평(용산구청),69,122,116,171,294,400,454,590,624,644,709,706,724,652,548,516,503,401,200,6
일요일,6호선,대흥(서강대앞),81,141,196,342,533,549,576,721,800,731,736,784,784,675,537,469,470,386,252,15
일요일,6호선,독바위,48,78,112,173,282,289,230,238,248,235,249,264,230,222,186,146,147,115,68,20
일요일,6호선,돌곶이,129,283,342,566,878,984,633,718,861,990,878,758,695,676,548,502,515,390,261,23
일요일,6호선,동묘앞,85,166,217,387,636,939,1143,1317,1550,1612,1548,1390,1111,813,607,500,462,414,323,40
일요일,6호선,디지털미디어시티,176,342,433,637,818,884,817,887,936,903,958,1032,1034,993,726,749,671,669,309,66
일요일,6호선,마포구청,156,332,438,716,947,992,976,1121,1169,1091,1178,1227,1140,1113,901,816,847,760,377,3
일요일,6호선,망원,136,249,321,564,894,1299,1580,1883,2248,2154,2188,2250,2071,1771,1485,1314,1142,879,436,2
일요일,6호선,버티고개,28,60,68,109,133,174,157,170,186,187,191,191,180,163,142,123,118,92,61,4
일요일,6호선,보문,94,189,243,388,525,567,578,656,737,620,628,648,613,594,504,449,506,426,312,38
일요일,6호선,봉화산(서울의료원),110,199,311,460,564,620,560,598,672,631,642,697,642,550,487,424,396,343,197,27
일요일,6호선,불광,44,94,133,206,332,380,389,443,543,566,584,615,552,436,363,292,259,196,115,8
일요일,6호선,삼각지,57,158,178,275,374,528,610,793,881,881,894,880,848,674,493,469,422,355,211,11
일요일,6호선,상수,350,345,244,327,532,737,861,1105,1142,1232,1268,1320,1386,1313,1062,1039,1019,930,618,6
일요일,6호선,상월곡(한국과학기술연구원),102,164,216,347,510,476,512,474,582,516,503,522,483,413,360,322,296,275,192,8
일요일,6호선,새절(신사),205,342,441,673,849,967,857,936,1034,972,980,1063,1007,900,806,688,639,530,289,37
일요일,6호선,석계,199,319,411,642,832,926,867,979,989,1007,1052,1056,1070,1002,832,760,717,557,379,56
일요일,6호선,신당,55,199,189,335,370,435,547,688,831,848,739,796,897,870,926,714,632,572,486,24
